label,input
0101111001111,司空無駭入極，費庈父勝之。
1111,戎請盟。
111111111111,秋，盟于唐，復修戎好也。
0110011111111111,九月，紀裂繻來逆女，卿爲君逆也。
1100110111111111,冬，紀子帛、莒子盟于密，魯故也。
0111110011111,鄭人伐衞，討公孫滑之亂也。
1,
011110110110111,三年春，王三月，壬戌，平王崩。
110111111,赴以庚戌，故書之。
110111010111,夏，君氏卒。——聲子也。
111011101111111111111111,不赴于諸侯，不反哭于寢，不祔于姑，故不曰“薨”。
11011111111111,不稱夫人，故不言葬，不書姓。
1111110111,爲公故，曰“君氏”。
001101101011,鄭武公、莊公爲平王卿士。
11111,王貳于虢。
01111,鄭伯怨王。
11111111,王曰：“無之。”
1111011,故周、鄭交質。
00111111000111111,王子狐爲質於鄭，鄭公子忽爲質於周。
11101110111,王崩，周人將畀虢公政。
0110011111111,四月，鄭祭足帥師取溫之麥。
111101111,秋，又取成周之禾。
111011,周、鄭交惡。
011111111111111111111111111111111111101111111111111111011111111111111111101111111011111011110111111111111111111101101111011011101111,君子曰：“信不由中，質無益也。明恕而行，要之以禮，雖無有質，誰能間之？苟有明信，澗、谿、沼、沚之毛，蘋、蘩、蕰藻之菜，筐、筥、錡、釜之器，潢、汙、行潦之水，可薦於鬼神，可羞於王公，而況君子結二國之信，行之以禮，又焉用質？風有采蘩、采蘋，雅有行葦、泂酌，昭忠信也。”
011111111111,武氏子來求賻，王未葬也。
0011110010111011111101101110110111111101111111111101110111111111111111101101111111111,宋穆公疾，召大司馬孔父而屬殤公焉，曰：“先君舍與夷而立寡人，寡人弗敢忘。若以大夫之靈，得保首領以沒；先君若問與夷，其將何辭以對？請子奉之，以主社稷。寡人雖死，亦無悔焉。”
111111111111,對曰：“羣臣願奉馮也。”
111111101101111110111111111101111111111010110111111101111011111,公曰：“不可。先君以寡人爲賢，使主社稷。若棄德不讓，是廢先君之舉也，豈曰能賢？光昭先君之令德，可不務乎？吾子其無廢先君之功！”
100111111,使公子馮出居于鄭。
010110011101011,八月庚辰，宋穆公卒，殤公卽位。
0111100111011110111111111011111111110110111111111111,君子曰：“宋宣公可謂知人矣。立穆公，其子饗之，命以義夫！商頌曰：‘殷受命咸宜，百祿是荷’，其是之謂乎！”
1111111011011111,冬，齊、鄭盟于石門，尋盧之盟也。
01101111111,庚戌，鄭伯之車僨于濟。
0011110111111101111111011110111,衞莊公娶于齊東宫得臣之妹，曰莊姜，美而無子，衞人所爲賦碩人也。
11111101110111111101110110111111,又娶于陳，曰厲嬀，生孝伯，早死。其娣戴嬀，生桓公，莊姜以爲己子。
01011011111,公子州吁，嬖人之子也。
1111111111,有寵而好兵，公弗禁。
01111,莊姜惡之。
0111111111111101111111111111111111101111111111101111111111111111111111111111111111111111110111111111111111111111111111111101101101101101101111111111111011111111111101111110111111,石碏諫曰：“臣聞愛子，教之以義方，弗納於邪。驕、奢、淫、泆，所自邪也。四者之來，寵祿過也。將立州吁，乃定之矣；若猶未也，階之爲禍。夫寵而不驕，驕而能降，降而不憾，憾而能眕者，鮮矣。且夫賤妨貴，少陵長，遠間親，新間舊，小加大，淫破義，所謂六逆也；君義，臣行，父慈，子孝，兄愛，弟敬，所謂六順也。去順效逆，所以速禍也。君人者，將禍是務去，而速之，無乃不可乎？”
111,弗聽。
11110111111111,其子厚與州吁游，禁之，不可。
0111111,桓公立，乃老。
1,
0111001101111,四年春，衞州吁弑桓公而立。
11011111111111111011111,公與宋公爲會，將尋宿之盟，未及期，衞人來告亂。
1111011111,春，公及宋公遇于清。
001101110010111,宋殤公之卽位也，公子馮出奔鄭。
011111,鄭人欲納之。
100111110111111111101111111,及衞州吁立，將修先君之怨于鄭，而求寵於諸侯，以和其民。
111111111111110111111011111111110111111,使告於宋曰：“君若伐鄭，以除君害，君爲主，敝邑以賦與陳、蔡從，則衞國之願也。”
01111,宋人許之。
11111111111011011011011111101111111,於是陳、蔡方睦於衞，故宋公、陳侯、蔡人、衞人伐鄭，圍其東門，五日而還。
1110111100111111,公問於衆仲曰：“衞州吁其成乎？”
111111111111111111111111111101111111111111111111111111111111111111111110111101111111111111111011111111111111,對曰：“臣聞以德和民，不聞以亂。以亂，猶治絲而棼之也。夫州吁，阻兵而安忍。阻兵，無衆；安忍，無親。衆叛、親離，難以濟矣。夫兵，猶火也；弗戢，將自焚也。夫州吁弑其君，而虐用其民，於是乎不務令德，而欲以亂成，必不免矣。”
11011111,秋，諸侯復伐鄭。
01111111111,宋公使來乞師，公辭之。
011111111111,羽父請以師會之，公弗許。
111111111111111111011111011111111,固請而行。故書曰“翬帥師”，疾之也。諸侯之師敗鄭徒兵，取其禾而還。
0111111111111011,州吁未能和其民，厚問定君於石子。
01111111111,石子曰：“王覲爲可。”
111111111,曰：“何以得覲？”
111001111111111111111111111111,曰：“陳桓公方有寵於王。陳、衞方睦，若朝陳使請，必可得也。”
1101111,厚從州吁如陳。
0111111110101101111111111111111011111111,石碏使告于陳曰：“衞國褊小，老夫耄矣，無能爲也。此二人者，實弑寡君，敢卽圖之。”
01111111111,陳人執之，而請涖于衞。
0110110110101111,九月，衞人使右宰醜涖殺州吁于濮。
011110010101111,石碏使其宰獳羊肩涖殺石厚于陳。
0111101111111011111110111111111111,君子曰：“石碏，純臣也。惡州吁而厚與焉。‘大義滅親’，其是之謂乎！”
011011111,衞人逆公子晉于邢。
100101011,冬十二月宣公卽位。
1111011111111,書曰：“衞人立晉”，衆也。
1,
011111111111,五年春，公將如棠觀魚者。
00111111111110111111110111111111111111101111011101111101110111111111111011011110111110110110110111101101111110111101111011110111011101110111011101110111111110110110110111111111111111101011011110111101111011111111111,臧僖伯諫曰：“凡物不足以講大事，其材不足以備器用，則君不舉焉。君，將納民於軌、物者也。故講事以度軌量謂之軌，取材以章物采謂之物。不軌不物，謂之亂政。亂政亟行，所以敗也。故春蒐、夏苗、秋獮、冬狩，皆於農隙以講事也。三年而治兵，入而振旅。歸而飲至，以數軍實。昭文章，明貴賤，辨等列，順少長，習威儀也。鳥獸之肉不登於俎，皮革、齒牙、骨角、毛羽不登於器，則公不射，古之制也。若夫山林、川澤之實，器用之資，皁隸之事，官司之守，非君所及也。”
11111111111,公曰：“吾將略地焉。”
1111111110111111,遂往，陳魚而觀之，僖伯稱疾不從。
11111111111111110111,書曰“公矢魚于棠”，非禮也，且言遠地也。
00011011011111101101111,曲沃莊伯以鄭人、邢人伐翼，王使尹氏、武氏助之。
01111,翼侯奔隨。
1110011,夏，葬衞桓公。
1111111,衞亂，是以緩。
0110110111101111,四月，鄭人侵衞牧，以報東門之役。
011011111011011011011111101101111111,衞人以燕師伐鄭，鄭祭足、原繁、洩駕以三軍軍其前，使曼伯與子元潛軍軍其後。
0111011111011,燕人畏鄭三軍，而不虞制人。
01110011011111011,六月，鄭二公子以制人敗燕師于北制。
0111111111101111,君子曰：“不備不虞，不可以師。”
01111,曲沃叛王。
11110110111101111,秋，王命虢公伐曲沃，而立哀侯於翼。
1111101111101111,衞之亂也，郕人入衞，故衞師入郕。
0111011111111,九月，考仲子之宫，將萬焉。
11011011,公問羽數於衆仲。
11110111101111011111111101101110111110111,對曰：“天子用八，諸侯用六，大夫四，士二。夫舞，所以節八音而行八風，故自八以下。”
1111,公從之。
0111011110111,於是初獻六羽，始用六佾也。
011011,宋人取邾田。
011111111111111011111,邾人告於鄭曰：“請君釋憾於宋，敝邑爲道。”
0110111111111111101111,鄭人以王師會之，伐宋，入其郛，以報東門之役。
0111111,宋人使來告命。
11111111111110111111111,公聞其入郛也，將救之，問於使者曰：“師何及？”
111111111,對曰：“未及國。”
111111,公怒，乃止。
10111111011101111111011111111111011101111,辭使者曰：“君命寡人同恤社稷之難，今問諸使者，曰‘師未及國’，非寡人之所敢知也。”
100101100111,冬十二月辛巳，臧僖伯卒。
1111011110110111111,公曰：“叔父有憾於寡人，寡人弗敢忘。”
111011,葬之加一等。
01111101111111111,宋人伐鄭，圍長葛，以報入郛之役也。
1,
01110110111111,六年春，鄭人來渝平，更成也。
1000101110110111111110111011,翼九宗五正頃父之子嘉父逆晉侯于隨，納諸鄂，晉人謂之鄂侯。
111111111111,夏，盟于艾，始平于齊也。
0101101111011,五月庚申，鄭伯侵陳，大獲。
011011111101111,往歲，鄭伯請成于陳，陳侯不許。
01111111111111111111111,五父諫曰：“親仁、善鄰，國之寶也。君其許鄭！”
01111111111111111,陳侯曰：“宋、衞實難，鄭何能爲？”
1111,遂不許。
011111111111111100111111111111111111111111101111111111111111111111110111011111111111111101111111010111110111111110111111,君子曰：“善不可失，惡不可長，其陳桓公之謂乎！長惡不悛，從自及也。雖欲救之，其將能乎！商書曰：‘惡之易也，如火之燎于原，不可鄉邇，其猶可撲滅？’周任有言曰：‘爲國家者，見惡，如農夫之務去草焉，芟夷蕰崇之，絶其本根，勿使能殖，則善者信矣。’”
11011011,秋，宋人取長葛。
1101111111111111111111111,冬，京師來告飢，公爲之請糴於宋、衞、齊、鄭，禮也。
01111110111,鄭伯如周，始朝桓王也。
11111,王不禮焉。
00111111111111111111111110111111111111111111,周桓公言於王曰：“我周之東遷，晉、鄭焉依。善鄭以勸來者，猶懼不蔇，況不禮焉？鄭不來矣。”
1,
01110111,七年春，滕侯卒。
111110111,不書名，未同盟也。
101011111111111111011111111111111011,凡諸侯同盟，於是稱名，故薨則赴以名，告終、稱嗣也，以繼好息民，謂之禮經。
111011111111,夏，城中丘。書，不時也。
011001111111111,齊侯使夷仲年來聘，結艾之盟也。
1111111010111111,秋，宋及鄭平。七月庚申，盟于宿。
111111111,公伐邾，爲宋討也。
111111111101101111,初，戎朝于周，發幣于公卿，凡伯弗賓。
111101111,冬，王使凡伯來聘。
11111101111,還，戎伐之于楚丘以歸。
11111,陳及鄭平。
001100111111,十二月，陳五父如鄭涖盟。
011101111111,壬申，及鄭伯盟，歃如忘。
01111011111111111,洩伯曰：“五父必不免，不賴盟矣。”
001111110111011111111111,鄭良佐如陳涖盟，辛巳，及陳侯盟，亦知陳之將亂也。
100110111011111,鄭公子忽在王所，故陳侯請妻之。
011111011,鄭伯許之，乃成昏。
1,
0111011111111011,八年春，齊侯將平宋、衞，有會期。
0111111111011,宋公以幣請於衞，請先相見。
01111111011,衞侯許之，故遇于犬丘。
0111011111011101111011,鄭伯請釋泰山之祀而祀周公，以泰山之祊易許田。
01101111111110111,三月，鄭伯使宛來歸祊，不祀泰山也。
1100011101111,夏，虢公忌父始作卿士于周。
010110001111111,四月甲辰，鄭公子忽如陳逆婦嬀。
01110111,辛亥，以嬀氏歸。
0111111,甲寅，入于鄭。
001111,陳鍼子送女。
111111,先配而後祖。
01111111011111111111111111,鍼子曰：“是不爲夫婦，誣其祖矣，非禮也，何以能育？”
0111111111,齊人卒平宋、衞于鄭。
111111110111101111111,秋，會于溫，盟于瓦屋，以釋東門之役，禮也。
0101101101111111,八月丙戌，鄭伯以齊人朝王，禮也。
110111011111111,公及莒人盟于浮來，以成紀好也。
11011111111,冬，齊侯使來告成三國。
11011111111111111111111110111111101110111,公使衆仲對曰：“君釋三國之圖，以鳩其民，君之惠也。寡君聞命矣，敢不承受君之明德。”
01110111111,無駭卒，羽父請諡與族。
1111011,公問族於衆仲。
01111101111111111111111110111111111111101111011111111,衆仲對曰：“天子建德，因生以賜姓，胙之土而命之氏。諸侯以字爲諡，因以爲族。官有世功，則有官族。邑亦如之。”
11111011,公命以字爲展氏。
1,
0111010111111111111,九年春王三月癸酉，大雨霖以震，書始也。
01111111111,庚辰，大雨雪，亦如之。
111111,書，時失也。
111111111110111011,凡雨，自三日以往爲霖，平地尺爲大雪。
11111,夏，城郎。
111111,書，不時也。
0111101110011101111,宋公不王，鄭伯爲王左卿士，以王命討之。
1111111111111111,伐宋。宋以入郛之役怨公，不告命。
1111011,公怒，絶宋使。
110110111111,秋，鄭人以王命來告伐宋。
11110111111111,冬，公會齊侯于防，謀伐宋也。
01111,北戎侵鄭。
0111110111111111111011111,鄭伯禦之，患戎師，曰：“彼徒我車，懼其侵軼我也。”
00111111111111111111111111111111111111111011110110111111111111111110111111111111111,公子突曰：“使勇而無剛者，嘗寇而速去之。君爲三覆以待之。戎輕而不整，貪而無親；勝不相讓，敗不相救。先者見獲，必務進；進而遇覆，必速奔。後者不救，則無繼矣。乃可以逞。”
111,從之。
01111011101111101101111111,戎人之前遇覆者奔，祝聃逐之，衷戎師，前後擊之，盡殪。
01011,戎師大奔。
0010110101011,十一月甲寅，鄭人大敗戎師。
1,
011101111011011011,十年春王正月，公會齊侯、鄭伯于中丘。
01111111011,癸丑，盟于鄧，爲師期。
1011011101101111,夏五月，羽父先會齊侯、鄭伯伐宋。
0101111011011011,六月戊申，公會齊侯、鄭伯于老桃。
0111101111,壬戌，公敗宋師于菅。
01101111,庚午，鄭師入郜。
0111111,辛未，歸于我。
011011110111111,庚辰，鄭師入防，辛巳，歸于我。
01100111111111110111111111111011111111,"君子謂鄭莊公“于是乎可謂正矣，以王命討不庭,不貪其土，以勞王爵，正之體也。”"
0110110111011,蔡人、衞人、郕人不會王命。
101011011111111,秋七月庚寅，鄭師入郊，猶在郊。
0110111101111110101101111,宋人、衞人入鄭，蔡人從之伐戴。八月壬戌，鄭伯圍戴。
01111111111,癸亥，克之，取三師焉。
1111111111110110111111111,宋、衞旣入鄭，而以伐戴召蔡人，蔡人怒，故不和而敗。
0101101111,九月戊寅，鄭伯入宋。
1101101111110111,冬，齊人、鄭人入郕，討違王命也。
1,
0011101101111111,十一年春，滕侯、薛侯來朝，爭長。
0111111111,薛侯曰：“我先封。”
011111111011111011111011111,滕侯曰：“我，周之卜正也；薛，庶姓也，我不可以後之。”
11011101111110111011011111111111111111111111111101101111011111111110111101011111011111,公使羽父請於薛侯曰：“君與滕君辱在寡人，周諺有之曰：‘山有木，工則度之；賓有禮，主則擇之。’周之宗盟，異姓爲後。寡人若朝于薛，不敢與諸任齒。君若辱貺寡人，則願以滕君爲請。”
0111111011,薛侯許之，乃長滕侯。
11110111111111,夏，公會鄭伯于郲，謀伐許也。
011111,鄭伯將伐許。
01011011011,五月甲辰，授兵於大宫。
0011001111001111110111111110111110111,公孫閼與潁考叔爭車，潁考叔挾輈以走，子都拔棘以逐之。及大逵，弗及，子都怒。
10111101101111,秋七月，公會齊侯、鄭伯伐許。
0111111,庚辰，傅于許。
00110111011111011111111,潁考叔取鄭伯之旗蝥弧以先登，子都自下射之，顛。
001110111111111,瑕叔盈又以蝥弧登，周麾而呼曰。
001111,許莊公奔衞。
0111011,齊侯以許讓公。
111111111111111111111111111101111111,公曰：“君謂許不共，故從君討之。許旣服其罪矣，雖君有命，寡人弗敢與聞。”
11011,乃與鄭人。
0111010110111101111111011011111011101110110111010101011111111111011110101111111101111111111011101101111111111101110101111111111111011011110111101110111110111111011101011111111101111111011011011101011110111011110101111101101111,鄭伯使許大夫百里奉許叔以居許東偏，曰：“天禍許國，鬼神實不逞于許君，而假手于我寡人，寡人唯是一二父兄不能共億，其敢以許自爲功乎？寡人有弟，不能和協，而使餬其口于四方，其況能久有許乎？吾子其奉許叔以撫柔此民也，吾將使獲也佐吾子。若寡人得沒于地，天其以禮悔禍于許，無寧茲許公復奉其社稷，唯我鄭國之有請謁焉，如舊昏媾，其能降以相從也。無滋他族實偪處此，以與我鄭國爭此土也。吾子孫其覆亡之不暇，而況能禋祀許乎？寡人之使吾子處此，不唯許國之爲，亦聊以固吾圉也。”
110011101111101010111111111111111011111111011111111101111111110111111111111,乃使公孫獲處許西偏，曰：“凡而器用財賄，無寘於許。我死，乃亟去之！王室而旣卑矣，周之子孫日失其序。夫許，大岳之胤也。天而旣厭周德矣，吾其能與許爭乎？”
01100111111111110111011101110111110111111111111111101111101111110111111111,君子謂鄭莊公“於是乎有禮。禮，經國家、定社稷、序民人、利後嗣也。許，無刑而伐之，服而舍之，度德而處之，量力而行之。相時而動，無累後人，可謂之禮矣。”
011111111111111100111,鄭伯使卒出豭，行出犬、雞，以詛射潁考叔者。
011001110111110111101111011110110111111111111111,君子謂鄭莊公“失政刑矣。政以治民，刑以正邪。旣無德政，又無威刑，是以及邪。邪而詛之，將何益矣。”
111111111111111101001110111111111011011111111111111,王取鄔、劉、蔿、汙之田于鄭，而與鄭人蘇忿生之田——溫、原、絺、樊、隰郕、欑茅、向、盟、州、陘、隤、懷。
010110111111,君子是以知桓王之失鄭也。
111111111111111,恕而行之，德之則也，禮之經也。
1111111111,己弗能有，而以與人。
1101111111,人之不至，不亦宜乎？
1111011,鄭、息有違言。
0111101111110101111,息侯伐鄭，鄭伯與戰于竟，息師大敗而還。
010111111111101110111011101111011111111111111111111111,君子是以知息之將亡也：“不度德，不量力，不親親，不徵辭，不察有罪。犯五不韙，而以伐人，其喪師也，不亦宜乎？”
101101101111,冬十月，鄭伯以虢師伐宋。
011010111111111,壬戌，大敗宋師，以報其入鄭也。
110111111,宋不告命，故不書。
101111111111111,凡諸侯有命，告則書，不然則否。
110111111,師出臧否，亦如之。
01011110111101111111,雖及滅國，滅不告敗，勝不告克，不書于策。
0111011111011,羽父請殺桓公，將以求大宰。
111111111111111111011111111,公曰：“爲其少故也，吾將授之矣。使營菟裘，吾將老焉。”
011111110111111,羽父懼，反譖公于桓公而請弑之。
111011110111011111,公之爲公子也，與鄭人戰于狐壤，止焉。
0111011,鄭人囚諸尹氏。
101111111011,賂尹氏，而禱於其主鍾巫。
11011111111,遂與尹氏歸，而立其主。
001111011110111101101101111110111011110111011,十一月，公祭鍾巫，齊于社圃，館于寪氏。壬辰，羽父使賊弑公于寪氏，立桓公，而討寪氏，有死者。
111111111,不書葬，不成喪也。
1,
010101,春秋左傳桓公
1,
0111101101111,元年春，公卽位，修好于鄭。
0111101111011,鄭人請復祀周公，卒易祊田。
11110110111101110111111,公許之。三月，鄭伯以璧假許田，爲周公、祊故也。
1010111101111110111,夏四月丁未，公及鄭伯盟于越，結祊成也。
111111111111,盟曰：“渝盟，無享國！”
11011101111011,秋，大水。凡平原出水爲大水。
1101111,冬，鄭伯拜盟。
10011011111111111111111111,宋華父督見孔父之妻于路，目逆而送之，曰：“美而艷。”
1,
01110110111011111111111111011,二年春，宋督攻孔氏，殺孔父而取其妻。公怒，督懼，遂弑殤公。
011111111111111111111111,君子以督爲有無君之心，而後動於惡，故先書弑其君。
111111011111110111,會于稷，以成宋亂，爲賂故，立華氏也。
0011101011111111,宋殤公立，十年十一戰，民不堪命。
00110111101111111111101111011111,孔父嘉爲司馬，督爲大宰，故因民之不堪命，先宣言曰：“司馬則然。”
1101110111011111111111,已殺孔父而弑殤公，召莊公于鄭而立之，以親鄭。
1101111111111111111011,以郜大鼎賂公，齊、陳、鄭皆有賂，故遂相宋公。
10111101111,夏四月，取郜大鼎于宋。
011110111111,戊申，納于大廟，非禮也。
001111111111111111010111111111101110111101011010110101101111111111111111111111111111111111111111111111111111111111111111111111110101111111111111111111101011111111111101101011111111111111111010110111111111110111010111110110111010110111111111101111101111101101111011111111101111101101101111111111011011011111111,臧哀伯諫曰：“君人者，將昭德塞違，以臨照百官，猶懼或失之，故昭令德以示子孫：是以清廟茅屋，大路越席，大羹不致，粢食不鑿，昭其儉也。袞、冕、黻、珽，帶、裳、幅、舄，衡、紞、紘、綖，昭其度也。藻、率、鞆、鞛，鞶、厲、游、纓，昭其數也。火、龍、黼、黻，昭其文也。五色比象，昭其物也。鍚、鸞、和、鈴，昭其聲也。三辰旂旗，昭其明也。夫德，儉而有度，登降有數，文、物以紀之，聲、明以發之，以臨照百官。百官於是乎戒懼，而不敢易紀律。今滅德立違，而寘其賂器于大廟，以明示百官。百官象之，其又何誅焉？國家之敗，由官邪也。官之失德，寵賂章也。郜鼎在廟，章孰甚焉？武王克商，遷九鼎于雒邑，義士猶或非之，而況將昭違亂之賂器於大廟，其若之何？”
1111,公不聽。
101111111001111111111111111111,周内史聞之，曰：“臧孫達其有後於魯乎！君違，不忘諫之以德。”
1101111111,秋，杞侯來朝，不敬。
011111111,杞侯歸，乃謀伐之。
01101111111111,蔡侯、鄭伯會于鄧，始懼楚也。
01111111111,九月，入杞，討不敬也。
111111110111,公及戎盟于唐，修舊好也。
111111111111,冬，公至自唐，告于廟也。
1111110111110110110111111,凡公行，告于宗廟；反行，飲至、舍爵、策勳焉，禮也。
1011011111111,特相會，往來稱地，讓事也。
110111111111111111,自參以上，則往稱地，來稱會，成事也。
11001101011111101111111,初，晉穆侯之夫人姜氏以條之役生大子，命之曰仇。
111011111111011,其弟以千畝之戰生，命之曰成師。
011111111111111110111111111111111111111111111111011110111111111111011111101111111111111,師服曰：“異哉，君之名子也！夫名以制義，義以出禮，禮以體政，政以正民，是以政成而民聽，易則生亂。嘉耦曰妃，怨耦曰仇，古之命也。今君命大子曰仇，弟曰成師，始兆亂矣。兄其替乎！”
1100011111111011011,惠之二十四年，晉始亂，故封桓叔于曲沃。
011101111,靖侯之孫欒賓傅之。
011111101111111111111111101111011111101101101111101101111111101111011111011111110111110111111111111111111,師服曰：“吾聞國家之立也，本大而末小，是以能固。故天子建國，諸侯立家，卿置側室，大夫有貳宗，士有隸子弟，庶人、工、商，各有分親，皆有等衰。是以民服事其上，而下無覬覦。今晉，甸侯也，而建國，本旣弱矣，其能久乎？”
11001100110111011111,惠之三十年，晉潘父弑昭侯而納桓叔，不克。
011011,晉人立孝侯。
110001101011111011,惠之四十五年，曲沃莊伯伐翼，弑孝侯。
01111011,翼人立其弟鄂侯。
011011,鄂侯生哀侯。
01101111,哀侯侵陘庭之田。
0101101111,陘庭南鄙啟曲沃伐翼。
1,
0111010111111011,三年春，曲沃武公伐翼，次于陘庭。
0111101111,韓萬御戎，梁弘爲右。
101101101111,逐翼侯于汾隰，驂絓而止。
111110011,夜獲之，及欒共叔。
1111011111,會于嬴，成昏于齊也。
1101101011111111,夏，齊侯、衞侯胥命于蒲，不盟也。
110111111111,公會杞侯于郕，杞求成也。
1100111111,秋，公子翬如齊逆女。
1011111110111,修先君之好，故曰“公子”。
011011111111,齊侯送姜氏于讙，非禮也。
10111101101110111111101111101111,凡公女，嫁于敵國，姊妹，則上卿送之，以禮於先君；公，則下卿送之。
10111011101111,於大國，雖公子，亦上卿送之。
101110111111111,於天子，則諸卿皆行，公不自送。
10111001111,於小國，則上大夫送之。
1100111110111,冬，齊仲年來聘，致夫人也。
0011101101110111111101111,芮伯萬之母芮姜惡芮伯之多寵人也，故逐之，出居于魏。
1,
01101111111,四年春正月，公狩于郎。
1111111,書，時，禮也。
1101001111,夏，周宰渠伯糾來聘。
111111,父在，故名。
11011111111111,秋，秦師侵芮，敗焉，小之也。
1101101111101111,冬，王師、秦師圍魏，執芮伯以歸。
1,
01101101101100111,五年春正月，甲戌、己丑，陳侯鲍卒。
1111,再赴也。
11111011110111111,於是陳亂，文公子佗殺大子免而代之。
1011111010111111,公疾病而亂作，國人分散，故再赴。
1101101111111111,夏，齊侯、鄭伯朝于紀，欲以襲之。
01111,紀人知之。
11011101111,王奪鄭伯政，鄭伯不朝。
11110111101111,秋，王以諸侯伐鄭，鄭伯禦之。
1101101011011011011110101101101111,王爲中軍，虢公林父將右軍，蔡人、衞人属焉；周公黑肩將左軍，陳人属焉。
