input,label
君子曰：“信不由中，質無益也。明恕而行，要之以禮，雖無有質，誰能間之？苟有明信，澗、谿、沼、沚之毛，蘋、蘩、蕰藻之菜，筐、筥、錡、釜之器，潢、汙、行潦之水，可薦於鬼神，可羞於王公，而況君子結二國之信，行之以禮，又焉用質？風有采蘩、采蘋，雅有行葦、泂酌，昭忠信也。”,130000000000000000000000000000000000013000000000000000130000000000000000013000000130000130001300000000000000000013013000130130013000
武氏子來求賻，王未葬也。,130000000000
宋穆公疾，召大司馬孔父而屬殤公焉，曰：“先君舍與夷而立寡人，寡人弗敢忘。若以大夫之靈，得保首領以沒；先君若問與夷，其將何辭以對？請子奉之，以主社稷。寡人雖死，亦無悔焉。”,1230001231300130000013013001301300000013000000000013001300000000000000013013000000000
對曰：“羣臣願奉馮也。”,000000000000
公曰：“不可。先君以寡人爲賢，使主社稷。若棄德不讓，是廢先君之舉也，豈曰能賢？光昭先君之令德，可不務乎？吾子其無廢先君之功！”,000000013013000001300000000013000000000131301300000013000130000
使公子馮出居于鄭。,012300000
八月庚辰，宋穆公卒，殤公卽位。,131301230013130
君子曰：“宋宣公可謂知人矣。立穆公，其子饗之，命以義夫！商頌曰：‘殷受命咸宜，百祿是荷’，其是之謂乎！”,1300012300130001300000000130000000001301300000000000
冬，齊、鄭盟于石門，尋盧之盟也。,0000000130130000
庚戌，鄭伯之車僨于濟。,13013000000
衞莊公娶于齊東宫得臣之妹，曰莊姜，美而無子，衞人所爲賦碩人也。,1230001300000013000000130001300
又娶于陳，曰厲嬀，生孝伯，早死。其娣戴嬀，生桓公，莊姜以爲己子。,00000013001300000013001301300000
公子州吁，嬖人之子也。,13130130000
有寵而好兵，公弗禁。,0000000000
莊姜惡之。,13000
石碏諫曰：“臣聞愛子，教之以義方，弗納於邪。驕、奢、淫、泆，所自邪也。四者之來，寵祿過也。將立州吁，乃定之矣；若猶未也，階之爲禍。夫寵而不驕，驕而能降，降而不憾，憾而能眕者，鮮矣。且夫賤妨貴，少陵長，遠間親，新間舊，小加大，淫破義，所謂六逆也；君義，臣行，父慈，子孝，兄愛，弟敬，所謂六順也。去順效逆，所以速禍也。君人者，將禍是務去，而速之，無乃不可乎？”,1300000000000013000000000000000000013000000000013000000000000000000000000000000000000000001300000000000000000000000000000013013013013013013000000000000130000000000013000001300000
弗聽。,000
其子厚與州吁游，禁之，不可。,00001300000000
桓公立，乃老。,1300000
,
四年春，衞州吁弑桓公而立。,1300123013000
公與宋公爲會，將尋宿之盟，未及期，衞人來告亂。,00130000000000000130000
春，公及宋公遇于清。,0000130000
宋殤公之卽位也，公子馮出奔鄭。,123013001231300
鄭人欲納之。,130000
及衞州吁立，將修先君之怨于鄭，而求寵於諸侯，以和其民。,012300001300000000013000000
使告於宋曰：“君若伐鄭，以除君害，君爲主，敝邑以賦與陳、蔡從，則衞國之願也。”,000000000000001300000130000000001300000
宋人許之。,13000
於是陳、蔡方睦於衞，故宋公、陳侯、蔡人、衞人伐鄭，圍其東門，五日而還。,00000000000130130130130000013000000
公問於衆仲曰：“衞州吁其成乎？”,0001300012300000
對曰：“臣聞以德和民，不聞以亂。以亂，猶治絲而棼之也。夫州吁，阻兵而安忍。阻兵，無衆；安忍，無親。衆叛、親離，難以濟矣。夫兵，猶火也；弗戢，將自焚也。夫州吁弑其君，而虐用其民，於是乎不務令德，而欲以亂成，必不免矣。”,000000000000000000000000000013000000000000000000000000000000000000000001300013000000000000000130000000000000
秋，諸侯復伐鄭。,00130000
宋公使來乞師，公辭之。,13000000000
羽父請以師會之，公弗許。,130000000000
固請而行。故書曰“翬帥師”，疾之也。諸侯之師敗鄭徒兵，取其禾而還。,000000000000000000130000130000000
州吁未能和其民，厚問定君於石子。,1300000000000130
石子曰：“王覲爲可。”,13000000000
曰：“何以得覲？”,000000000
曰：“陳桓公方有寵於王。陳、衞方睦，若朝陳使請，必可得也。”,000123000000000000000000000000
厚從州吁如陳。,0013000
石碏使告于陳曰：“衞國褊小，老夫耄矣，無能爲也。此二人者，實弑寡君，敢卽圖之。”,1300000001313013000000000000000130000000
陳人執之，而請涖于衞。,13000000000
九月，衞人使右宰醜涖殺州吁于濮。,1301301301313000
石碏使其宰獳羊肩涖殺石厚于陳。,130001231313000
君子曰：“石碏，純臣也。惡州吁而厚與焉。‘大義滅親’，其是之謂乎！”,1300013000000130000001300000000000
衞人逆公子晉于邢。,130130000
冬十二月宣公卽位。,012313130
書曰：“衞人立晉”，衆也。,0000130000000
,
五年春，公將如棠觀魚者。,130000000000
臧僖伯諫曰：“凡物不足以講大事，其材不足以備器用，則君不舉焉。君，將納民於軌、物者也。故講事以度軌量謂之軌，取材以章物采謂之物。不軌不物，謂之亂政。亂政亟行，所以敗也。故春蒐、夏苗、秋獮、冬狩，皆於農隙以講事也。三年而治兵，入而振旅。歸而飲至，以數軍實。昭文章，明貴賤，辨等列，順少長，習威儀也。鳥獸之肉不登於俎，皮革、齒牙、骨角、毛羽不登於器，則公不射，古之制也。若夫山林、川澤之實，器用之資，皁隸之事，官司之守，非君所及也。”,12300000000001300000001300000000000000013000130013000013001300000000000130130001300001301301301300013013000001300013000130001300130013001300130013001300000001301301301300000000000000013130130001300013000130000000000
公曰：“吾將略地焉。”,00000000000
遂往，陳魚而觀之，僖伯稱疾不從。,0000000001300000
書曰“公矢魚于棠”，非禮也，且言遠地也。,00000000000000001300
曲沃莊伯以鄭人、邢人伐翼，王使尹氏、武氏助之。,12230130130000013013000
翼侯奔隨。,13000
夏，葬衞桓公。,0001230
衞亂，是以緩。,0000000
四月，鄭人侵衞牧，以報東門之役。,1301301300013000
衞人以燕師伐鄭，鄭祭足、原繁、洩駕以三軍軍其前，使曼伯與子元潛軍軍其後。,130130000130130130130000013013000000
燕人畏鄭三軍，而不虞制人。,1300130000130
六月，鄭二公子以制人敗燕師于北制。,13001230130000130
君子曰：“不備不虞，不可以師。”,1300000000013000
曲沃叛王。,13000
秋，王命虢公伐曲沃，而立哀侯於翼。,00001301300013000
衞之亂也，郕人入衞，故衞師入郕。,0000013000013000
九月，考仲子之宫，將萬焉。,1300130000000
公問羽數於衆仲。,00130130
對曰：“天子用八，諸侯用六，大夫四，士二。夫舞，所以節八音而行八風，故自八以下。”,00001300013000130000000013013001300001300
公從之。,0000
於是初獻六羽，始用六佾也。,1300130001300
宋人取邾田。,130130
邾人告於鄭曰：“請君釋憾於宋，敝邑爲道。”,130000000000000130000
鄭人以王師會之，伐宋，入其郛，以報東門之役。,1301300000000000013000
宋人使來告命。,1300000
公聞其入郛也，將救之，問於使者曰：“師何及？”,00000000000001300000000
對曰：“未及國。”,000000000
公怒，乃止。,000000
辭使者曰：“君命寡人同恤社稷之難，今問諸使者，曰‘師未及國’，非寡人之所敢知也。”,01300000130013000000130000000000130013000
冬十二月辛巳，臧僖伯卒。,012313012300
公曰：“叔父有憾於寡人，寡人弗敢忘。”,0000130001301300000
葬之加一等。,000130
宋人伐鄭，圍長葛，以報入郛之役也。,13000013000000000
,
六年春，鄭人來渝平，更成也。,13001301300000
翼九宗五正頃父之子嘉父逆晉侯于隨，納諸鄂，晉人謂之鄂侯。,0122313001301300000001300130
夏，盟于艾，始平于齊也。,000000000000
五月庚申，鄭伯侵陳，大獲。,1313013000130
往歲，鄭伯請成于陳，陳侯不許。,130130000013000
五父諫曰：“親仁、善鄰，國之寶也。君其許鄭！”,13000000000000000000000
陳侯曰：“宋、衞實難，鄭何能爲？”,13000000000000000
遂不許。,0000
君子曰：“善不可失，惡不可長，其陳桓公之謂乎！長惡不悛，從自及也。雖欲救之，其將能乎！商書曰：‘惡之易也，如火之燎于原，不可鄉邇，其猶可撲滅？’周任有言曰：‘爲國家者，見惡，如農夫之務去草焉，芟夷蕰崇之，絶其本根，勿使能殖，則善者信矣。’”,130000000000000012300000000000000000000000013000000000000000000000001300130000000000000013000000131300001300000001300000
秋，宋人取長葛。,00130130
冬，京師來告飢，公爲之請糴於宋、衞、齊、鄭，禮也。,0013000000000000000000000
鄭伯如周，始朝桓王也。,13000001300
王不禮焉。,00000
周桓公言於王曰：“我周之東遷，晉、鄭焉依。善鄭以勸來者，猶懼不蔇，況不禮焉？鄭不來矣。”,12300000000000000000000001300000000000000000
,
七年春，滕侯卒。,13001300
不書名，未同盟也。,000001300
凡諸侯同盟，於是稱名，故薨則赴以名，告終、稱嗣也，以繼好息民，謂之禮經。,013130000000000000130000000000000130
夏，城中丘。書，不時也。,000130000000
齊侯使夷仲年來聘，結艾之盟也。,130123000000000
秋，宋及鄭平。七月庚申，盟于宿。,0000000131300000
公伐邾，爲宋討也。,000000000
初，戎朝于周，發幣于公卿，凡伯弗賓。,000000000013013000
冬，王使凡伯來聘。,000013000
還，戎伐之于楚丘以歸。,00000013000
陳及鄭平。,00000
十二月，陳五父如鄭涖盟。,123012300000
壬申，及鄭伯盟，歃如忘。,130013000000
洩伯曰：“五父必不免，不賴盟矣。”,13000130000000000
鄭良佐如陳涖盟，辛巳，及陳侯盟，亦知陳之將亂也。,123000001300130000000000
鄭公子忽在王所，故陳侯請妻之。,012301300130000
鄭伯許之，乃成昏。,130000130
,
八年春，齊侯將平宋、衞，有會期。,1300130000000130
宋公以幣請於衞，請先相見。,1300000000130
衞侯許之，故遇于犬丘。,13000000130
鄭伯請釋泰山之祀而祀周公，以泰山之祊易許田。,1300130000130013000130
三月，鄭伯使宛來歸祊，不祀泰山也。,13013000000001300
夏，虢公忌父始作卿士于周。,0012230013000
四月甲辰，鄭公子忽如陳逆婦嬀。,131301223000000
辛亥，以嬀氏歸。,13001300
甲寅，入于鄭。,1300000
陳鍼子送女。,123000
先配而後祖。,000000
鍼子曰：“是不爲夫婦，誣其祖矣，非禮也，何以能育？”,13000000130000000000000000
齊人卒平宋、衞于鄭。,1300000000
秋，會于溫，盟于瓦屋，以釋東門之役，禮也。,000000001300013000000
八月丙戌，鄭伯以齊人朝王，禮也。,1313013013000000
公及莒人盟于浮來，以成紀好也。,001300130000000
冬，齊侯使來告成三國。,00130000000
公使衆仲對曰：“君釋三國之圖，以鳩其民，君之惠也。寡君聞命矣，敢不承受君之明德。”,00130000000000000000000001300000013001300
無駭卒，羽父請諡與族。,13001300000
公問族於衆仲。,0000130
衆仲對曰：“天子建德，因生以賜姓，胙之土而命之氏。諸侯以字爲諡，因以爲族。官有世功，則有官族。邑亦如之。”,13000013000000000000000001300000000000013000130000000
公命以字爲展氏。,00000130
,
九年春王三月癸酉，大雨霖以震，書始也。,1300131300000000000
庚辰，大雨雪，亦如之。,13000000000
書，時失也。,000000
凡雨，自三日以往爲霖，平地尺爲大雪。,000000000001300130
夏，城郎。,00000
書，不時也。,000000
宋公不王，鄭伯爲王左卿士，以王命討之。,1300013001230013000
伐宋。宋以入郛之役怨公，不告命。,0000000000000000
公怒，絶宋使。,0000130
秋，鄭人以王命來告伐宋。,001301300000
冬，公會齊侯于防，謀伐宋也。,00001300000000
北戎侵鄭。,13000
鄭伯禦之，患戎師，曰：“彼徒我車，懼其侵軼我也。”,1300001300000000000130000
公子突曰：“使勇而無剛者，嘗寇而速去之。君爲三覆以待之。戎輕而不整，貪而無親；勝不相讓，敗不相救。先者見獲，必務進；進而遇覆，必速奔。後者不救，則無繼矣。乃可以逞。”,12300000000000000000000000000000000000000130001301300000000000000001300000000000000
從之。,000
戎人之前遇覆者奔，祝聃逐之，衷戎師，前後擊之，盡殪。,13000130013000013013000000
戎師大奔。,13130
十一月甲寅，鄭人大敗戎師。,1231301313130
,
十年春王正月，公會齊侯、鄭伯于中丘。,130013000130130130
癸丑，盟于鄧，爲師期。,13000000130
夏五月，羽父先會齊侯、鄭伯伐宋。,0130130013013000
六月戊申，公會齊侯、鄭伯于老桃。,1313000130130130
壬戌，公敗宋師于菅。,1300013000
庚午，鄭師入郜。,13013000
辛未，歸于我。,1300000
庚辰，鄭師入防，辛巳，歸于我。,130130001300000
"君子謂鄭莊公“于是乎可謂正矣，以王命討不庭,不貪其土，以勞王爵，正之體也。”",13012300000000001300000000000130000000
蔡人、衞人、郕人不會王命。,1301301300130
秋七月庚寅，鄭師入郊，猶在郊。,013130130000000
宋人、衞人入鄭，蔡人從之伐戴。八月壬戌，鄭伯圍戴。,1301300013000001313013000
癸亥，克之，取三師焉。,13000000000
宋、衞旣入鄭，而以伐戴召蔡人，蔡人怒，故不和而敗。,0000000000001301300000000
九月戊寅，鄭伯入宋。,1313013000
冬，齊人、鄭人入郕，討違王命也。,0013013000001300
,
十一年春，滕侯、薛侯來朝，爭長。,1230013013000000
薛侯曰：“我先封。”,1300000000
滕侯曰：“我，周之卜正也；薛，庶姓也，我不可以後之。”,130000000130000130000130000
公使羽父請於薛侯曰：“君與滕君辱在寡人，周諺有之曰：‘山有木，工則度之；賓有禮，主則擇之。’周之宗盟，異姓爲後。寡人若朝于薛，不敢與諸任齒。君若辱貺寡人，則願以滕君爲請。”,00130013000001300130130000000000000000000000000013013000130000000001300013130000130000
薛侯許之，乃長滕侯。,1300000130
夏，公會鄭伯于郲，謀伐許也。,00001300000000
鄭伯將伐許。,130000
五月甲辰，授兵於大宫。,13130130130
公孫閼與潁考叔爭車，潁考叔挾輈以走，子都拔棘以逐之。及大逵，弗及，子都怒。,1230123000123000001300000001300001300
秋七月，公會齊侯、鄭伯伐許。,01300013013000
庚辰，傅于許。,1300000
潁考叔取鄭伯之旗蝥弧以先登，子都自下射之，顛。,12301300130000130000000
瑕叔盈又以蝥弧登，周麾而呼曰。,123001300000000
許莊公奔衞。,123000
齊侯以許讓公。,1300130
公曰：“君謂許不共，故從君討之。許旣服其罪矣，雖君有命，寡人弗敢與聞。”,000000000000000000000000000013000000
乃與鄭人。,00130
鄭伯使許大夫百里奉許叔以居許東偏，曰：“天禍許國，鬼神實不逞于許君，而假手于我寡人，寡人唯是一二父兄不能共億，其敢以許自爲功乎？寡人有弟，不能和協，而使餬其口于四方，其況能久有許乎？吾子其奉許叔以撫柔此民也，吾將使獲也佐吾子。若寡人得沒于地，天其以禮悔禍于許，無寧茲許公復奉其社稷，唯我鄭國之有請謁焉，如舊昏媾，其能降以相從也。無滋他族實偪處此，以與我鄭國爭此土也。吾子孫其覆亡之不暇，而況能禋祀許乎？寡人之使吾子處此，不唯許國之爲，亦聊以固吾圉也。”,1300131301300013000000130130000130013001301300131313130000000000130001313000000013000000000130013013000000000013001313000000000000130130001300013001300001300000130013130000000013000000130130130013130001300130001313000013013000
乃使公孫獲處許西偏，曰：“凡而器用財賄，無寘於許。我死，乃亟去之！王室而旣卑矣，周之子孫日失其序。夫許，大岳之胤也。天而旣厭周德矣，吾其能與許爭乎？”,001230013000013131300000000000000130000000130000000013000000001300000000000
君子謂鄭莊公“於是乎有禮。禮，經國家、定社稷、序民人、利後嗣也。許，無刑而伐之，服而舍之，度德而處之，量力而行之。相時而動，無累後人，可謂之禮矣。”,13012300000000001300130013001300001300000000000000013000013000001300000000
鄭伯使卒出豭，行出犬、雞，以詛射潁考叔者。,130000000000000012300
君子謂鄭莊公“失政刑矣。政以治民，刑以正邪。旣無德政，又無威刑，是以及邪。邪而詛之，將何益矣。”,130123001300001300013000130001301300000000000000
王取鄔、劉、蔿、汙之田于鄭，而與鄭人蘇忿生之田——溫、原、絺、樊、隰郕、欑茅、向、盟、州、陘、隤、懷。,000000000000000013123001300000000130130000000000000
君子是以知桓王之失鄭也。,131301300000
恕而行之，德之則也，禮之經也。,000000000000000
己弗能有，而以與人。,0000000000
人之不至，不亦宜乎？,0013000000
鄭、息有違言。,0000130
息侯伐鄭，鄭伯與戰于竟，息師大敗而還。,1300013000001313000
君子是以知息之將亡也：“不度德，不量力，不親親，不徵辭，不察有罪。犯五不韙，而以伐人，其喪師也，不亦宜乎？”,131300000000013001300130013000130000000000000000000000
冬十月，鄭伯以虢師伐宋。,013013013000
壬戌，大敗宋師，以報其入鄭也。,130131300000000
宋不告命，故不書。,001300000
凡諸侯有命，告則書，不然則否。,013000000000000
師出臧否，亦如之。,001300000
雖及滅國，滅不告敗，勝不告克，不書于策。,13130001300013000000
羽父請殺桓公，將以求大宰。,1300130000130
公曰：“爲其少故也，吾將授之矣。使營菟裘，吾將老焉。”,000000000000000000130000000
羽父懼，反譖公于桓公而請弑之。,130000001300000
公之爲公子也，與鄭人戰于狐壤，止焉。,000130001300130000
鄭人囚諸尹氏。,1300130
賂尹氏，而禱於其主鍾巫。,013000000130
遂與尹氏歸，而立其主。,00130000000
十一月，公祭鍾巫，齊于社圃，館于寪氏。壬辰，羽父使賊弑公于寪氏，立桓公，而討寪氏，有死者。,123000130001300013013013000001300130001300130
不書葬，不成喪也。,000000000
,
春秋左傳桓公,131313
,
元年春，公卽位，修好于鄭。,1300013013000
鄭人請復祀周公，卒易祊田。,1300013000130
公許之。三月，鄭伯以璧假許田，爲周公、祊故也。,00001301300013001300000
夏四月丁未，公及鄭伯盟于越，結祊成也。,0131300013000001300
盟曰：“渝盟，無享國！”,000000000000
秋，大水。凡平原出水爲大水。,00130013000130
冬，鄭伯拜盟。,0013000
宋華父督見孔父之妻于路，目逆而送之，曰：“美而艷。”,01230130000000000000000000
,
二年春，宋督攻孔氏，殺孔父而取其妻。公怒，督懼，遂弑殤公。,13001301300130000000000000130
君子以督爲有無君之心，而後動於惡，故先書弑其君。,130000000000000000000000
會于稷，以成宋亂，爲賂故，立華氏也。,000000130000001300
宋殤公立，十年十一戰，民不堪命。,1230013130000000
孔父嘉爲司馬，督爲大宰，故因民之不堪命，先宣言曰：“司馬則然。”,12301300013000000000013000130000
已殺孔父而弑殤公，召莊公于鄭而立之，以親鄭。,0013001300130000000000
以郜大鼎賂公，齊、陳、鄭皆有賂，故遂相宋公。,0013000000000000000130
夏四月，取郜大鼎于宋。,01300013000
戊申，納于大廟，非禮也。,130001300000
臧哀伯諫曰：“君人者，將昭德塞違，以臨照百官，猶懼或失之，故昭令德以示子孫：是以清廟茅屋，大路越席，大羹不致，粢食不鑿，昭其儉也。袞、冕、黻、珽，帶、裳、幅、舄，衡、紞、紘、綖，昭其度也。藻、率、鞆、鞛，鞶、厲、游、纓，昭其數也。火、龍、黼、黻，昭其文也。五色比象，昭其物也。鍚、鸞、和、鈴，昭其聲也。三辰旂旗，昭其明也。夫德，儉而有度，登降有數，文、物以紀之，聲、明以發之，以臨照百官。百官於是乎戒懼，而不敢易紀律。今滅德立違，而寘其賂器于大廟，以明示百官。百官象之，其又何誅焉？國家之敗，由官邪也。官之失德，寵賂章也。郜鼎在廟，章孰甚焉？武王克商，遷九鼎于雒邑，義士猶或非之，而況將昭違亂之賂器於大廟，其若之何？”,123000000000000000131300000000013001300013130131301313013000000000000000000000000000000000000000000000000000000000000000000000001313000000000000000000013130000000000013013130000000000000000131301300000000001300131300001301300131301300000000013000013000013013000130000000013000013013013000000000130130130000000
公不聽。,0000
周内史聞之，曰：“臧孫達其有後於魯乎！君違，不忘諫之以德。”,013000000123000000000000000000
秋，杞侯來朝，不敬。,0013000000
杞侯歸，乃謀伐之。,130000000
蔡侯、鄭伯會于鄧，始懼楚也。,13013000000000
九月，入杞，討不敬也。,13000000000
公及戎盟于唐，修舊好也。,000000001300
冬，公至自唐，告于廟也。,000000000000
凡公行，告于宗廟；反行，飲至、舍爵、策勳焉，禮也。,0000001300001301301300000
特相會，往來稱地，讓事也。,0130130000000
自參以上，則往稱地，來稱會，成事也。,001300000000000000
初，晉穆侯之夫人姜氏以條之役生大子，命之曰仇。,00123013130000013000000
其弟以千畝之戰生，命之曰成師。,000130000000130
師服曰：“異哉，君之名子也！夫名以制義，義以出禮，禮以體政，政以正民，是以政成而民聽，易則生亂。嘉耦曰妃，怨耦曰仇，古之命也。今君命大子曰仇，弟曰成師，始兆亂矣。兄其替乎！”,130000000000000001300000000000000000000000000000130001300000000000130000013000000000000
惠之二十四年，晉始亂，故封桓叔于曲沃。,0012230000000130130
靖侯之孫欒賓傅之。,130013000
師服曰：“吾聞國家之立也，本大而末小，是以能固。故天子建國，諸侯立家，卿置側室，大夫有貳宗，士有隸子弟，庶人、工、商，各有分親，皆有等衰。是以民服事其上，而下無覬覦。今晉，甸侯也，而建國，本旣弱矣，其能久乎？”,130000013000000000000000013000130000013013013000013013000000013000130000130000001300001300000000000000000
惠之三十年，晉潘父弑昭侯而納桓叔，不克。,00123012301300130000
晉人立孝侯。,130130
惠之四十五年，曲沃莊伯伐翼，弑孝侯。,001223013130000130
翼人立其弟鄂侯。,13000130
鄂侯生哀侯。,130130
哀侯侵陘庭之田。,13013000
陘庭南鄙啟曲沃伐翼。,1313013000
,
三年春，曲沃武公伐翼，次于陘庭。,1300131300000130
韓萬御戎，梁弘爲右。,1300013000
逐翼侯于汾隰，驂絓而止。,013013013000
夜獲之，及欒共叔。,000001230
會于嬴，成昏于齊也。,0000130000
夏，齊侯、衞侯胥命于蒲，不盟也。,0013013130000000
公會杞侯于郕，杞求成也。,001300000000
秋，公子翬如齊逆女。,0012300000
修先君之好，故曰“公子”。,0130000001300
齊侯送姜氏于讙，非禮也。,130130000000
凡公女，嫁于敵國，姊妹，則上卿送之，以禮於先君；公，則下卿送之。,01300013013001300000013000013000
於大國，雖公子，亦上卿送之。,01300130013000
於天子，則諸卿皆行，公不自送。,013001300000000
於小國，則上大夫送之。,01300123000
冬，齊仲年來聘，致夫人也。,0012300001300
芮伯萬之母芮姜惡芮伯之多寵人也，故逐之，出居于魏。,1230013013001300000013000
,
四年春正月，公狩于郎。,13013000000
書，時，禮也。,0000000
夏，周宰渠伯糾來聘。,0013123000
父在，故名。,000000
秋，秦師侵芮，敗焉，小之也。,00130000000000
冬，王師、秦師圍魏，執芮伯以歸。,0013013000013000
,
五年春正月，甲戌、己丑，陳侯鲍卒。,13013013013012300
再赴也。,0000
於是陳亂，文公子佗殺大子免而代之。,00000130001300000
公疾病而亂作，國人分散，故再赴。,0130000131300000
夏，齊侯、鄭伯朝于紀，欲以襲之。,0013013000000000
紀人知之。,13000
王奪鄭伯政，鄭伯不朝。,00130013000
秋，王以諸侯伐鄭，鄭伯禦之。,00001300013000
王爲中軍，虢公林父將右軍，蔡人、衞人属焉；周公黑肩將左軍，陳人属焉。,0013013130130130130001313013013000
